,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
92,Hôtel Médian,48.83617174312476,2.2790783643722534,Le Bistrot d'André,48.83727162149303,2.277406204964174,French Restaurant
93,Hôtel Médian,48.83617174312476,2.2790783643722534,Place Balard,48.83649413597979,2.2781805771155956,Plaza
94,Hôtel Médian,48.83617174312476,2.2790783643722534,Hôtel Médian,48.83617174312476,2.2790783643722534,Hotel
95,Hôtel Médian,48.83617174312476,2.2790783643722534,Cokisushi,48.8372523482641,2.278663875577542,Sushi Restaurant
96,Hôtel Médian,48.83617174312476,2.2790783643722534,Pizza Botticelli,48.837202766045955,2.2784239053726196,Pizza Place
97,Hôtel Médian,48.83617174312476,2.2790783643722534,Métro Balard [8],48.836394191646185,2.27841854095459,Metro Station
98,Hôtel Médian,48.83617174312476,2.2790783643722534,Au Palais de Joie - Nicosef,48.837794,2.278321,Chinese Restaurant
99,Hôtel Médian,48.83617174312476,2.2790783643722534,Pho 520,48.83684,2.2780788,Vietnamese Restaurant
100,Hôtel Médian,48.83617174312476,2.2790783643722534,Enterprise Rent-A-Car - Paris Porte de Versailles,48.8358070095054,2.280348133187317,Rental Car Location
101,Hôtel Médian,48.83617174312476,2.2790783643722534,MAT (Miniature Art Tattoo),48.83702587449612,2.2792018001881718,Tattoo Parlor
102,Hôtel Médian,48.83617174312476,2.2790783643722534,Pasta City,48.83542974810483,2.277947035487157,Salad Place
103,Hôtel Médian,48.83617174312476,2.2790783643722534,Vélib' [15-56],48.836442503968755,2.278602223195435,Bike Rental / Bike Share
104,Hôtel Médian,48.83617174312476,2.2790783643722534,Ma Douce Soeur,48.8371873185132,2.279793319758028,Pie Shop
105,Hôtel Médian,48.83617174312476,2.2790783643722534,"Arrêt Place Balard [42,88]",48.83727670920516,2.277379062467077,Bus Stop
106,Hôtel Médian,48.83617174312476,2.2790783643722534,Piscine Balard - Ministère Des Armées,48.83541275221629,2.27796176269785,Pool
107,Hôtel Médian,48.83617174312476,2.2790783643722534,BP,48.8364199,2.27757098,Gas Station
108,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Hôtel Porte de Versailles (PVH),48.83501551388064,2.282371156535699,Hotel
109,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Villa Eva,48.835470979193325,2.281188039600159,Pizza Place
110,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Okyama,48.834964148200896,2.2830386459827423,Asian Restaurant
111,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Casino Supermarché,48.83634,2.28173,Supermarket
112,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Royal Lecourbe,48.83640443313919,2.282186376723881,Asian Restaurant
113,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Enterprise Rent-A-Car - Paris Porte de Versailles,48.8358070095054,2.280348133187317,Rental Car Location
114,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Saint Mercure,48.8360657,2.28431527,Restaurant
115,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Picard Lecourbe,48.83663546180041,2.2826463534658066,Food & Drink Shop
116,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Vélib' [15-61],48.83450600946324,2.2843894580805895,Bike Rental / Bike Share
117,Hôtel Porte de Versailles (PVH),48.83501551388064,2.2823711565356994,Osaka,48.834475,2.284427,Japanese Restaurant
118,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Pathé Beaugrenelle,48.84922038550089,2.2825169563293457,Multiplex
119,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Hotel
120,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Beaugrenelle,48.84837599834368,2.2822916507720947,Shopping Mall
121,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Front de Seine - Squash & Fitness,48.84934748034394,2.285584214668169,Gym / Fitness Center
122,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Monoprix,48.84824,2.2833,Supermarket
123,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,ECLECTIC,48.849017843821855,2.281996796148564,Gastropub
124,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Muji,48.848684748171785,2.282871555005066,Miscellaneous Shop
125,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,K-Mart,48.85010192182979,2.284989370749697,Grocery Store
126,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Benkay,48.84975621561449,2.2823906963286595,Japanese Restaurant
127,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Zara,48.84884707411352,2.2823615811650635,Clothing Store
128,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Häagen-Dazs,48.84885175657157,2.282472019311448,Ice Cream Shop
129,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Chipotle Mexican Grill,48.84907,2.28195,Mexican Restaurant
130,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Ladurée Picnic,48.84834632342933,2.2832678888604794,Dessert Shop
131,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Cojean,48.848654,2.282826,Salad Place
