name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike
Hôtel des Deux-Îles,4adcda00f964a520d53021e3,48.852336,2.3550447,75004,Paris,"[""59 rue Saint-Louis en l'Île"", '75004 Paris', 'France']",Hotel,75004,4,1
"1, Rue Lerrgrattier",4d1e37545acaa35db93cb535,48.851531,2.353607,,,['France'],Hotel,75004,4,0
Hotel Duo Paris,4e84bdeb2fb6611bdfd704ea,48.85806463051729,2.3529366996409515,75004,Paris,"['11 rue du Temple (Rue de la Verrerie)', '75004 Paris', 'France']",Hotel,75004,4,31
Hotel Dieu,590c698f356b492c77bba4fe,48.854243,2.348619,75004,Paris,"['75004 Paris', 'France']",Hotel,75004,4,0
Hôtel Les Rives de Notre-Dame,4adcd9fff964a520af3021e3,48.853252000000005,2.345773,75005,Paris,"['15 quai Saint-Michel', '75005 Paris', 'France']",Hotel,75005,5,5
Hôtel du Mont-Blanc (Hôtel du Mont Blanc),4ff75c93e4b024f55a0166a4,48.853211793042156,2.3450741171836853,75005,Paris,"['28 rue de la Huchette', '75005 Paris', 'France']",Hotel,75005,5,3
St james club,4f9af311e4b0edc5605027cd,48.855467100000006,2.3512618,,,['France'],Hotel,75004,4,0
Lyric,57df36fd498e710faee81360,48.855957000000004,2.3448408,75001,Paris,"['75001 Paris', 'France']",Hotel,75001,1,0
Hôtel Hospitel,5bc9169cc03635002c41193f,48.853953999999995,2.348331,75004,Paris,"['1 place Du Parvis Notre Dame (Rue de La Cité)', '75004 Paris', 'France']",Hotel,75004,4,0
Hotelparis,52e8b715498eebffcc569172,48.85463513865943,2.349100112915039,75008,Paris,"['4 rue de Valois 75001 Paris', '75008 Paris', 'France']",Hotel,75004,4,0
4 Rue De Colombe,50524deae4b0bd290c3dcaf6,48.854717,2.3505759999999998,,,['France'],Bed & Breakfast,75004,4,1
 Le Royal Monceau Raffles Hotels,579691a3498e1e6deb4e1eba,48.855362,2.353541,,Paris,"['Paris (\xa0Le Royal Monceau Raffles Hotels)', 'Paris', 'France']",Hotel,75004,4,0
Pavillon Villiers Etoile,5a315d26f427de60fcb4637d,48.856613,2.3522220000000003,,,['France'],Hotel,75004,4,0
radisson blu hotel,57a244c5498e916da2daded3,48.857307,2.351291,,Paris,"['Paris', 'France']",Hotel,75004,4,0
Global Great Hotels,5b5f0c248c35dc002c217e07,48.8567528749697,2.3522543907165527,75010,Paris,"['-', '75010 Paris', 'France']",Hotel,75004,4,0
Royaume de Saint-Michel,4c797c99566db60ca52a450e,48.8540438,2.3444084,75005,Paris,"['3, boulevard Saint-Michel', '75005 Paris', 'France']",Hotel,75006,6,0
Novotel Paris Les Halles,4b980387f964a5201a2635e3,48.860834558948184,2.3463669419288635,75001,Paris,"['8 place Marguerite de Navarre', '75001 Paris', 'France']",Hotel,75001,1,131
Hôtel Beaubourg,4b101e98f964a5206d6923e3,48.860110088348904,2.3533684004767776,75004,Paris,"['11 rue Simon le Franc', '75004 Paris', 'France']",Hotel,75004,4,1
Citadines Les Halles Paris,4bd10b2420cd996062aa2e9e,48.86067233332421,2.3470772385924428,75001,Paris,"['4 rue des Innocents', '75001 Paris', 'France']",Hotel,75001,1,42
Le Presbytère,5ce9d60b3e6741002cebef88,48.858999999999995,2.350278,75004,Paris,"['78 Rue de la Verrerie', '75004 Paris', 'France']",Hotel,75004,4,0
Hôtel Snob,58d390c495383939688cfed9,48.862293861073034,2.3495668172836304,75001,Paris,"['84-86 rue Saint-Denis', '75001 Paris', 'France']",Hotel,75001,1,6
Hôtel Elixir,5a19e22e78782c5f752fe488,48.858553,2.3465380000000002,75001,Paris,"['7 Rue Jean Lantier', '75001 Paris', 'France']",Hotel,75001,1,2
Hôtel Maison Albar Paris Céline,589f8629460dd9594f214421,48.86055222230682,2.3442587256431584,75001,Paris,"['23-25 rue du Pont Neuf', '75001 Paris', 'France']",Hotel,75001,1,18
Hôtel Victoria Châtelet Paris,4d77c3598963f04d8c3bf137,48.85812022711915,2.3466422247452843,75001,Paris,"['17 avenue Victoria', '75001 Paris', 'France']",Hotel,75001,1,8
Hotel Agora,4adcda01f964a520193121e3,48.8614857709871,2.3486469277262394,75001,Paris,"['7 Rue de la Cossonnerie', '75001 Paris', 'France']",Hotel,75001,1,4
Hôtel Britannique,4adcd9fef964a520783021e3,48.85815476174758,2.3463394266763897,75001,Paris,"['20 avenue Victoria', '75001 Paris', 'France']",Hotel,75001,1,11
